"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
Komsing,5511157371,"FAC/2026/8587",Yes,"Arunachal Pradesh",Siang,Pangin,"Sub Center","Bharti Sharma",HEALTH,0,0,0
KonMelconda,4732847167,"FAC/2025/3938",Yes,Karnataka,Bidar,Bhalki,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Konaghatta,7111241423,"FAC/2025/4185",Yes,Karnataka,BengaluruRural,Doddaballapura,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Konanakatte,7475542747,"FAC/2026/6445",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Konanatambagi,3835885561,"FAC/2026/7558",Yes,Karnataka,Haveri,Haveri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Konandur A",4888321652,"FAC/2025/6101",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Konapalli,6462482461,"FAC/2026/6822",Yes,Karnataka,Chikkaballapura,Chintamani,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Konasagara,6558624844,"FAC/2026/7345",Yes,Karnataka,Chitradurga,Molkalmuru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Konchageri,4685483226,"FAC/2025/4159",Yes,Karnataka,Ballari,Sirguppa,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kondadahalli,7364424817,"FAC/2026/7418",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kondajji,4477566337,"FAC/2026/7050",Yes,Karnataka,Tumkur,Turvekere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kondamari,5555312429,"FAC/2026/6943",Yes,Karnataka,Kolar,Srinivaspur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kondampalli,3824164838,"FAC/2025/3764",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kondarajanahalli,6882824557,"FAC/2026/6908",Yes,Karnataka,Kolar,Kolar,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kondhapuri,2482574346,"FAC/2026/10636",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kondlahalli,5117613710,"FAC/2025/4986",Yes,Karnataka,Chitradurga,Molakalmuru,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Kondlhalli B",7485662642,"FAC/2026/7346",Yes,Karnataka,Chitradurga,Molkalmuru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kongan,IN1310000754,"FAC/2026/7119",Yes,Nagaland,Mon,Wakching,"Sub Center",MANGAAL,HEALTH,0,0,0
"Kongandi  B",1278483423,"FAC/2025/4282",Yes,Karnataka,Yadgir,Shorapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kongthong,"mg-0341","FAC/2025/1303",Yes,Meghalaya,EastKhasiHills,Laitkroh,"Health and Wellness Center",ERES,HEALTH,0,0,0
Koniha,7424781727,"FAC/2025/0491",Yes,Assam,KamrupRural,Rangia,"State Dispensary",ERES,HEALTH,0,0,0
"Konjeng Leikai",3835724679,"FAC/2026/7183",Yes,Manipur,ImphalWest,Wangoi,"Health and Wellness Center",MANGAAL,HEALTH,0,0,0
"Konkal-Yadgir",1158123149,"FAC/2025/3368",Yes,Karnataka,Yadgir,Yadgir,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Konnu,1562114429,"FAC/2026/8524",Yes,"Arunachal Pradesh",Longding,Pongchau,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
Konnur,3534873421,"FAC/2025/5218",Yes,Karnataka,Bagalkote,Jamkhandi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Konnur B",4627487319,"FAC/2025/3852",Yes,Karnataka,Gadag,Nargund,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Konnur Muddebihal",7228356783,"FAC/2025/4595",Yes,Karnataka,Vijayapura,Muddebihal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Konshet,1322655653,"FAC/2025/6150",Yes,Karnataka,UttaraKannada,Joida,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Konthoujam,7134876635,"FAC/2025/1773",Yes,Manipur,ImphalWest,Khumbong,"Health and Wellness Center",MANGAAL,HEALTH,0,1,1
Konwarpur,5275644481,"FAC/2025/0329",Yes,Assam,Sivasagar,Sivasagar,"Subsidiary Health Center","GCEP Solar Pvt Ltd",HEALTH,0,1,1
"Konya SC",IN1310001729,"FAC/2025/1968",Yes,Nagaland,Tuensang,"Tuensang sadar","Sub Center","A and D Solar",HEALTH,0,1,1
Koodigenahalli,4446587315,"FAC/2026/6989",Yes,Karnataka,Tumkur,Madhugiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Koodli,2328111238,"FAC/2025/4811",Yes,Karnataka,Kalaburagi,Jevargi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Kookatunoor,3876818166,"FAC/2025/5087",Yes,Karnataka,Belagavi,Athani,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Koolahalli,6385354680,"FAC/2025/3566",Yes,Karnataka,Vijayanagara,Harapanahalli,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Koppa,6112685158,"FAC/2025/6162",Yes,Karnataka,UttaraKannada,Mundgod,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Koppa-Maddur",5761225258,"FAC/2025/4198",Yes,Karnataka,Mandya,Maddur,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Koppal H.H",5121354657,"FAC/2025/4192",Yes,Karnataka,Mandya,Malavalli,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kopparasikoppa,2910001541,"FAC/2025/4890",Yes,Karnataka,Haveri,Hanagal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Koptupali,1814463780,"FAC/2025/0953",Yes,Assam,Chirang,Ballamguri,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Koraitola,8525648583,"FAC/2025/0769",Yes,Assam,Kokrajhar,Dotoma,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Koranahalli,7583238337,"FAC/2026/6741",Yes,Karnataka,Chikkamagaluru,Tarikere,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Korang,5181315622,"FAC/2026/8576",Yes,"Arunachal Pradesh",EastSiang,Ruksin,"Primary Health Center","Bharti Sharma",HEALTH,0,0,0
"Koraput-UHWC",5281648443,"FAC/2026/10534",Yes,Odisha,Koraput,Koraput,"Sub Center","Onergy Solar",HEALTH,0,0,0
Koratagere,3582834549,"FAC/2025/6031",Yes,Karnataka,Shivamogga,Shikaripura,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Koratagere Government Genaral Hospital",4678266240,"FAC/2025/4439",Yes,Karnataka,Tumkur,Koratagere,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Koratikere,3672447632,"FAC/2026/7479",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Korawar Dr",5318343844,"FAC/2025/4590",Yes,Karnataka,Vijayapura,Devarahipparagi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Koregaon,6322774834,"FAC/2025/5582",Yes,Maharashtra,Gadchiroli,Wadsa,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Korgi,8856313476,"FAC/2025/3328",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Korlagudi,4172468854,"FAC/2025/5201",Yes,Karnataka,Ballari,Bellary,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Korlahalli,8727784111,"FAC/2025/3851",Yes,Karnataka,Gadag,Mundargi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kosandi      ",6654823837,"FAC/2026/10484",Yes,Odisha,Koraput,Nandpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kosarsar,6811554119,"FAC/2025/5627",Yes,Maharashtra,Chandrapur,Warora,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Kota,4283444224,"FAC/2025/5268",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Kotabal,5658678361,"FAC/2025/3850",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kotabhagi,7424834161,"FAC/2025/3892",Yes,Karnataka,Dharwad,Dharwad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kotagahalli,1645711613,"FAC/2026/6366",Yes,Karnataka,Mandya,Krishnarajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kotagal,1117813160,"FAC/2026/6830",Yes,Karnataka,Chikkaballapura,Chintamani,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Kote Ganguru",8365535882,"FAC/2025/6045",Yes,Karnataka,Shivamogga,Shivamogga,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kotegadde,5745786573,"FAC/2025/6102",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kotemalluru,2338817287,"FAC/2026/7456",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Koteshwara,8345614773,"FAC/2025/3316",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kothadoddi,6424826466,"FAC/2025/5326",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Kothalachinta,6884512473,"FAC/2025/4073",Yes,Karnataka,Ballari,Sirguppa,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kothali,2585788264,"FAC/2025/4351",Yes,Karnataka,Belagavi,Chikodi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kothamangala,1455844835,"FAC/2026/6929",Yes,Karnataka,Kolar,Mulbagal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kothari,1111281687,"FAC/2025/5632",Yes,Maharashtra,Chandrapur,Ballarpur,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
Kothathi,1115746610,"FAC/2025/4183",Yes,Karnataka,Mandya,Mandya,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kothegala,7785863551,"FAC/2026/7603",Yes,Karnataka,Mysuru,"H D Kote","Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kothi,1121364622,"FAC/2026/10568",Yes,Maharashtra,Gadchiroli,Aheri,"Primary Health Unit","Devidayal Solar",HEALTH,0,0,0
"Kotia      ",8744285316,"FAC/2026/10511",Yes,Odisha,Koraput,Pottangi,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kotlen,8576345675,"FAC/2026/7184",Yes,Manipur,Kangpokpi,"Kangchup Geljang","Health and Wellness Center","DKK3 Sons",HEALTH,0,0,0
"Kotpad M C      ",6824667361,"FAC/2026/10426",Yes,Odisha,Koraput,Kotpad,"Sub Center","Onergy Solar",HEALTH,0,0,0
"Kotpad-UHWC",6572238480,"FAC/2026/10535",Yes,Odisha,Koraput,Kotpad,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kottigehaara,5767473423,"FAC/2026/6742",Yes,Karnataka,Chikkamagaluru,Mudigere,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,1,1
Kotumachagi,1858227844,"FAC/2025/3849",Yes,Karnataka,Gadag,Gadag,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kotyal,3486173283,"FAC/2025/3430",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Koudgaoun,7175667844,"FAC/2025/3937",Yes,Karnataka,Bidar,Aurad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Krang,"mg-0188","FAC/2025/1456",Yes,Meghalaya,EastKhasiHills,Mawphlang,"Health and Wellness Center",ERES,HEALTH,0,0,0
"Kreit Mawshaton",17298030217,"FAC/2026/8063",Yes,Meghalaya,EastKhasiHills,Mawphlang,Anganwadi,ERES,ANGANWADI,0,0,0
Krishanagar,4756184851,"FAC/2025/0484",Yes,Assam,KamrupMetro,GhyWardNo2,"Urban Primary Health Center",ERES,HEALTH,0,0,0
"Krishna Nagar",1551575630,"FAC/2025/4072",Yes,Karnataka,Ballari,Sanduru,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Krishnai,2131146322,"FAC/2025/0135",Yes,Assam,Goalpara,Krishnai,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Krjol,7831474320,"FAC/2025/3429",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kshetrigao,3716621150,"FAC/2026/7185",Yes,Manipur,ImphalEast,Porompat,"Urban Primary Health Center","SNL Energy Solutions",HEALTH,0,0,0
Kubakaddi,8511325550,"FAC/2025/3428",Yes,Karnataka,Vijayapura,BasavanBagewadi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kubolong HWC",IN1310000521,"FAC/2025/2003",Yes,Nagaland,Mokokchung,Changtongya,"Health and Wellness Center","A and D Solar",HEALTH,0,0,0
Kuda,1316713138,"FAC/2025/2339",Yes,Gujarat,Banaskantha,Lakhani,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Kudagi,7635831485,"FAC/2025/4605",Yes,Karnataka,Vijayapura,Bagewadi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Kudaralu,2755448467,"FAC/2025/4071",Yes,Karnataka,Ballari,Sirguppa,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kudari Salawadagi",4573818459,"FAC/2025/4600",Yes,Karnataka,Vijayapura,Bagewadi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Kudiyanuru,2113181669,"FAC/2026/6916",Yes,Karnataka,Kolar,Malur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kudli,8316871832,"FAC/2025/6046",Yes,Karnataka,Shivamogga,Shivamogga,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kudligere,1131647123,"FAC/2025/5951",Yes,Karnataka,Shivamogga,Bhadravathi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Kudligi General Hospital",7177477234,"FAC/2025/4421",Yes,Karnataka,Vijayanagara,Kudligi,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kudlipete,2448717542,"FAC/2025/3293",Yes,Karnataka,Kodagu,Somwarpet,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kudluru,5324347441,"FAC/2026/7604",Yes,Karnataka,Mysuru,Hunsur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Kudmul      ",5283778172,"FAC/2026/10420",Yes,Odisha,Koraput,Koraput,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kudrimoti,7425828634,"FAC/2025/3658",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kudumallige,6225331229,"FAC/2025/6103",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kuduregundi,7843271672,"FAC/2026/6743",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kuduvalli,2672358872,"FAC/2026/6744",Yes,Karnataka,Chikkamagaluru,Chikkamagaluru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kugunderpur,5553152579,"FAC/2025/3064",Yes,Odisha,Sambalpur,Dhankauda,"Sub Center","Onergy Solar",HEALTH,0,1,1
Kukadolli,3744234182,"FAC/2025/4380",Yes,Karnataka,Belagavi,Belagavi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kukke,3483134346,"FAC/2025/6104",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kukkundoor,5252555247,"FAC/2025/3351",Yes,Karnataka,Udupi,Karkala,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kuklur,1223616267,"FAC/2026/6446",Yes,Karnataka,Kodagu,Virajpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"Kuknoor A",2886857610,"FAC/2025/3657",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kukudapali,4684544614,"FAC/2025/3062",Yes,Odisha,Sambalpur,Jujumura,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kulagericross,1457383386,"FAC/2025/5239",Yes,Karnataka,Bagalkote,Badami,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Kulali,6443268336,"FAC/2025/5862",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kulambi,1474776752,"FAC/2026/7457",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kulgi,2452418888,"FAC/2025/6135",Yes,Karnataka,UttaraKannada,Haliyal,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kulgod,7842541687,"FAC/2025/5139",Yes,Karnataka,Belagavi,Gokak,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Kuliang,"mg-0153","FAC/2025/1113",Yes,Meghalaya,EastJaintiaHills,khliehriat,"Health and Wellness Center",ERES,HEALTH,0,0,0
Kuligaon,"mg-0502","FAC/2025/1147",Yes,Meghalaya,SouthWestGaroHills,Zikzak,"Health and Wellness Center",ERES,HEALTH,0,3,3
Kulsi,8361376448,"FAC/2025/0111",Yes,Assam,Kamrup,Chayani,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Kultanuapali,2837173745,"FAC/2025/3061",Yes,Odisha,Sambalpur,Rengali,"Sub Center","Onergy Solar",HEALTH,0,2,2
Kuluma,5153158257,"FAC/2025/3060",Yes,Odisha,Angul,Kaniha,"Primary Health Center","Solar Infra",HEALTH,0,0,0
Kumar,2384432288,"FAC/2025/2359",Yes,Gujarat,Banaskantha,Dhanera,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Kumarchincholi,4378364253,"FAC/2025/3935",Yes,Karnataka,Bidar,Humanabad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kumari,8248652581,"FAC/2026/8570",Yes,"Arunachal Pradesh",Namsai,Lekang,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Kumate,1426312615,"FAC/2025/3427",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kumbaluru,8685332762,"FAC/2026/7460",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kumbarhal,8463474125,"FAC/2025/5863",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Kumbhari      ",8521472889,"FAC/2026/10491",Yes,Odisha,Koraput,Narayanapatna,"Sub Center","Onergy Solar",HEALTH,0,0,0
"Kumbhariput      ",6353488411,"FAC/2026/10399",Yes,Odisha,Koraput,Jeypore,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kumbhashi,3486375367,"FAC/2025/3314",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kumbipukhri,4721444349,"FAC/2025/1854",Yes,Manipur,Churachandpur,Samulamlan,"Sub Center","SNL Energy Solutions",HEALTH,0,0,0
Kumguri,4624636744,"FAC/2025/0723",Yes,Assam,Kokrajhar,Balajan,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Kumkapali,3152151837,"FAC/2025/3058",Yes,Odisha,Sambalpur,Jamankira,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kumligaon,"mg-0080","FAC/2025/1114",Yes,Meghalaya,SouthWestGaroHills,Betasing,"Health and Wellness Center",ERES,HEALTH,0,1,1
"Kumlong SC AHWC",IN1310000384,"FAC/2025/1990",Yes,Nagaland,Mokokchung,Ongpangkong,"Health and Wellness Center","A and D Solar",HEALTH,0,0,0
Kummuru,1488253863,"FAC/2025/6070",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Kumsi,7732781468,"FAC/2025/3763",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kumta Taluk Hospital",4644426241,"FAC/2025/4428",Yes,Karnataka,UttaraKannada,Kumta,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kumuli      ",3557678855,"FAC/2026/10376",Yes,Odisha,Koraput,Borigumma,"Sub Center","Onergy Solar",HEALTH,0,0,0
Kunabevu,8144641837,"FAC/2026/7347",Yes,Karnataka,Chitradurga,Chitradurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kunchanur,6271478460,"FAC/2025/5864",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Kunchavaram A",6251162720,"FAC/2025/3762",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kunchur,1765555220,"FAC/2026/7559",Yes,Karnataka,Haveri,Hirekerur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kunchur,1847246285,"FAC/2025/3565",Yes,Karnataka,Vijayanagara,Harapanahalli,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kundaliya,6213783878,"FAC/2025/2278",Yes,Gujarat,Banaskantha,Vav,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
"Kundaragi Yallapur",4816638813,"FAC/2025/4675",Yes,Karnataka,UttaraKannada,Yallapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Kundel,6871881246,"FAC/2025/2402",Yes,Gujarat,Banaskantha,Danta,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
"Kundhapura Government Hospital",1115822544,"FAC/2025/4432",Yes,Karnataka,Udupi,Kundhapura,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Kunduli      ",1557215454,"FAC/2026/10520",Yes,Odisha,Koraput,Semliguda,"Sub Center","Onergy Solar",HEALTH,0,1,1
Kundur,1166416527,"FAC/2026/7560",Yes,Karnataka,Haveri,Shiggaon,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kunduru,6246581885,"FAC/2026/7463",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kungkrajhara,4485853321,"FAC/2025/0952",Yes,Assam,Chirang,Ballamguri,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
Kunimellalli,8738471559,"FAC/2026/7561",Yes,Karnataka,Haveri,Savanur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kunnur,5327747589,"FAC/2025/4349",Yes,Karnataka,Belagavi,Chikodi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kuntinamadu,3474128679,"FAC/2026/6745",Yes,Karnataka,Chikkamagaluru,Tarikere,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kupnoor,7443134346,"FAC/2025/3761",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kuppalu,8317332842,"FAC/2026/6746",Yes,Karnataka,Chikkamagaluru,Kaduru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kuppanamakki,2513145322,"FAC/2026/6747",Yes,Karnataka,Chikkamagaluru,Sringeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Kuppe,6632556111,"FAC/2026/7605",Yes,Karnataka,Mysuru,Hunsur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Kupza AWHC",IN1310000495,"FAC/2025/1991",Yes,Nagaland,Mokokchung,"Ongpangkong North","Health and Wellness Center","A and D Solar",HEALTH,0,1,1
Kuradagi,2151342413,"FAC/2025/3847",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kurakunta,2516328115,"FAC/2025/4827",Yes,Karnataka,Kalaburagi,Sedam,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Kuralgera,8871173764,"FAC/2025/3760",Yes,Karnataka,Kalaburagi,Jewargi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kuralguri,2853788160,"FAC/2025/0274",Yes,Assam,Golaghat,"Golaghat Central","Mini Primary Health Center","GCEP Solar Pvt Ltd",HEALTH,0,0,0
Kurandimal,1121415747,"FAC/2026/10570",Yes,Maharashtra,Gadchiroli,Sironcha,"Primary Health Unit","Devidayal Solar",HEALTH,0,0,0
"Kurdi HWC",1676773748,"FAC/2025/5362",Yes,Karnataka,Raichur,Manvi,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Kurikota,1828248631,"FAC/2025/3759",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kurki,7742482230,"FAC/2026/7481",Yes,Karnataka,Davanagere,Davanagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Kurkunda,7112273219,"FAC/2025/4551",Yes,Karnataka,Yadgir,Shahapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Kurkunta A",7882375145,"FAC/2025/4158",Yes,Karnataka,Kalaburagi,Sedam,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Kurni,1864684236,"FAC/2025/4021",Yes,Karnataka,Belagavi,Hukkeri,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
